blockGroup,allProperties,incomeProperties
060371011101,0.007348526378990831,0.05998623881904047
060371011102,0.0148278790254099,0.08862916971025081
060371011103,0.007637419771235971,0.419753086419753
060371011221,0.0012508181006349334,0.16666666666666669
060371011222,0.0020389915035785382,0.06944444444444445
060371012101,0.02553903866073172,0.04003199999999999
060371012102,0.0179506786964226,0.03147822641102801
060371012201,0.005812500000000025,0.04830994897959183
060371012202,0.015183495338226466,0.05060048710842361
060371013001,0.002353697937224969,0.05555555555555556
060371013002,0.0022364448738074927,0.16666666666666669
060371013003,0.003067033976124906,
060371013004,0.003548390753777942,0.18367346938775508
060371014001,0.04021484375000013,0.25056
060371014002,0.0017741935483870763,0.11111111111111109
060371014003,0.006351521906603976,0.251147842056933
060371021031,0.020632829835088573,0.29587112800632315
060371021041,0.0010387581025617266,
060371021042,0.0032889188733344447,
060371021051,0.005148059307887604,0.03466796875
060371021052,0.018604958677686002,0.11038548752834466
060371021071,0.0014030408367225514,0.06250000000000001
060371021072,0.0038334255296435344,0.056689342403628086
060371031011,0.001578296893358269,0.20000000000000004
060371031012,0.0033874674596172673,
060371031021,0.0034817581154840426,0.125
060371031022,0.004290622941480167,0.1111111111111111
060371031023,0.002700831024930759,0.14285714285714285
060371031024,0.06569686476721008,0.831358024691358
060371031025,0.002701492119481557,1.0
060371032001,0.0018144772376543282,0.10000000000000003
060371032002,0.0020558308846103093,0.2520775623268698
060371032003,0.06879935100054106,0.20696126800963793
060371033001,0.0017109336809516115,0.06666666666666667
060371033002,0.0015484429065743715,0.04166666666666668
060371034001,0.031174335897808172,0.11819784345596485
060371034002,0.0040349107495285105,0.4082840236686391
060371034003,0.004080579345494437,0.3600000000000001
060371034004,0.016572406894429046,0.05982461355529135
060371034005,0.005541553343680815,0.29455216989843025
060371041031,0.0026641027181860065,
060371041032,0.002325531550068588,
060371041051,0.0029649511563309317,
060371041052,0.18684933963119169,0.6484844784957724
060371041081,0.08636408195274979,0.9430672070883213
060371041082,0.11535910227885197,0.18772744455289692
060371041083,0.006491318703533153,0.6859504132231407
060371041241,0.002231968047615305,0.3333333333333333
060371041242,0.0021548211860570473,0.20000000000000004
060371041243,0.004883546205860244,0.20987654320987653
060371042011,0.004519364619286438,1.0
060371042012,0.0036066471877282775,1.0
060371042013,0.006843521722414459,0.3645833333333334
060371042031,0.04498913002926919,0.288919835583208
060371042032,0.0027469281663516205,0.2222222222222222
060371042041,0.19945987654320996,1.0
060371042042,0.004478926556848637,
060371043101,0.005690754668420615,0.18367346938775508
060371043102,0.0035707200952192083,1.0
060371043103,0.003857537628526133,0.5
060371043201,0.0035865816061780966,0.24007561436672964
060371043202,0.007637373536996602,0.09090909090909091
060371043203,0.009196675900276993,0.10648423557406303
060371043204,0.010103806228373688,0.33518005540166196
060371044011,0.00483965996128271,0.1124260355029586
060371044012,0.0039484935365424285,0.058984910836762675
060371044031,0.006872984673886502,0.19723183391003463
060371044032,0.005500222982012809,0.044982698961937705
060371044041,0.005825659749255001,0.14285714285714288
060371044042,0.008905486929043412,0.1124260355029586
060371045001,0.00929292929292931,0.16863905325443787
060371045002,0.004343428333432493,0.19250780437044746
060371046101,0.004133483379501366,0.03724222837796244
060371046102,0.006439035916824205,0.07200000000000001
060371046201,0.0053424253000080415,0.25
060371046202,0.002839091778133976,0.09183673469387754
060371047011,0.019487807366595254,0.5390266299357209
060371047013,0.02827700920929856,0.13820018365472914
060371047031,0.17382544581618656,0.21710649950334235
060371047032,0.011362135024441791,0.25102880658436216
060371047041,0.00522608657515023,0.2727931409250091
060371048101,0.006365495158365812,0.18367346938775508
060371048102,0.004503093429399319,0.16666666666666669
060371048103,0.0017710613657227763,0.0657439446366782
060371048211,0.0676065907932733,0.318918918918919
060371048212,0.07061706393406171,0.8635204081632654
060371048221,0.03978232313754929,0.17272281733529368
060371060101,0.012238243402730822,0.8719274376417234
060371060201,0.0019395330336619678,0.14049586776859505
060371060202,0.0012543387326450638,0.5
060371061111,0.004607609988109409,
060371061112,0.0012194834574417793,
060371061121,0.0020572365275596176,0.22222222222222227
060371061122,0.0011784912141630333,1.0
060371061131,0.0017843364197530935,0.28
060371061132,0.002622955108875546,
060371061141,0.015038718054490384,0.15629974095689894
060371061142,0.02288811251455703,0.09151265600561781
060371064031,0.0036747580352983573,1.0
060371064032,0.004149096513065421,0.28
060371064033,0.0038452708907254214,0.2222222222222222
060371064051,0.02798293789284782,0.46679815910585143
060371064052,0.02078159095417572,0.603537981269511
060371064053,0.036505517363178176,0.3979584120982987
060371064061,0.004659455538605942,0.36991735537190085
060371064062,0.004524886877828051,0.3333333333333333
060371064063,0.006213397478941583,0.1984877126654064
060371064071,0.05015452427850337,0.30070605922306637
060371064072,0.11390088363979524,0.3098996561362585
060371064081,0.0915725617834992,0.2157584555087821
060371064082,0.1177794010226443,0.1436050055577468
060371065101,0.017126252624665453,0.5578623606305267
060371065102,0.020919625698411933,0.7163261257686965
060371065103,0.007658460696138719,1.0
060371065201,0.002384140897654401,0.08650519031141868
060371065202,0.003938585702242911,0.5
060371065203,0.004083329258154418,0.0775047258979206
060371066031,0.0021413276231263476,1.0
060371066032,0.0019230486927673,
060371066041,0.012318339100346022,0.3333333333333333
060371066042,0.023918301531846268,0.14423614286440073
060371066043,0.027664399092970426,0.10329861111111108
060371066044,0.016381139692562496,0.2984774490089055
060371066411,0.0012900225875043957,1.0
060371066421,0.0026648675999325255,
060371066422,0.0027093333333333266,
060371066423,0.0031948881789137184,1.0
060371066431,0.0013208594984834717,1.0
060371066432,0.003460207612456763,1.0
060371066433,0.0037989678789777,1.0
060371066451,0.002226784204806165,
060371066452,0.0013785008214850585,
060371066461,0.0017120160701241556,
060371066462,0.002708140433441716,1.0
060371066481,0.016430530671391677,0.3041377861793738
060371066482,0.12395781143613262,0.15763248045370354
060371066491,0.0036496350364963364,
060371066492,0.0024625318126119304,0.08875739644970417
060371070101,0.0016930815316103529,0.044897959183673466
060371070201,0.001481416140430999,0.022999999999999996
060371070202,0.003701953371140531,
060371081011,0.001299472785327079,
060371081021,0.0007975896682766009,
060371081031,0.0017093228717777144,
060371081032,0.0020702537009474452,
060371081041,0.0017239571806311313,
060371082011,0.0016800629202833584,
060371082012,0.0019722718155568883,
060371082021,0.00312773519860066,0.6038295145008812
060371091001,0.007405828760189689,
060371091002,0.0030882547232130853,0.5
060371092001,0.0043664848859654055,0.5
060371092002,0.0028489113948430675,
060371092003,0.0419742748246709,0.8024691358024691
060371093001,0.0038757396449704043,
060371093002,0.002716691927135463,
060371093003,0.003875739644970404,
060371094001,0.003246618106139415,0.5
060371094002,0.0036459364698482153,0.14285714285714285
060371094003,0.008850000000000004,0.13423517169614985
060371095001,0.00649093507343193,0.147842056932966
060371095002,0.006651959761003392,0.3601134215500946
060371095003,0.004191999999999999,0.0703125
060371096011,0.0033506763787720883,1.0
060371096012,0.0035835133414076985,
060371096013,0.07345138070708025,1.0
060371096014,0.0030486685032139788,0.3333333333333333
060371096031,0.015592488623450498,1.0
060371096032,0.03478494247240303,0.25995252008765524
060371096033,0.01978168999129307,0.11240991071748717
060371096041,0.10189528992306247,0.9022212775002656
060371096042,0.003962473049356114,
060371096043,0.0034177514792899637,0.24489795918367344
060371097001,0.002443595103696151,1.0
060371097002,0.00175222848467971,
060371097003,0.0032781391062096073,
060371098001,0.0030013501775870395,
060371098002,0.0035545163614033684,0.5
060371098003,0.04625771983138868,0.9548156956004756
060371098004,0.01189325854941476,0.9474068663257853
060371111001,0.002437641723356002,
060371111002,0.014310265053870027,1.0
060371112011,0.0026878678134902812,
060371112012,0.0021399836995131673,
060371112013,0.003846153846153836,0.5
060371112021,0.0036879064944858046,0.0661111111111111
060371112022,0.0022734202816879646,0.03499999999999999
060371112023,0.007100591715976237,0.0891003460207612
060371112041,0.001327446348338824,
060371112042,0.0016071410801182036,
060371112043,0.0018958856906416317,
060371112051,0.0018370781464780693,
060371112052,0.003917940117682782,
060371112053,0.17628367850702836,0.9803450642093912
060371112061,0.0032571925304510792,
060371112062,0.003333333333333321,
060371112063,0.003389676790350175,
060371112064,0.003717472118959097,
060371112065,0.003104550862581818,
060371113011,0.005373103539415129,0.0810736971518339
060371113012,0.14495433281354425,0.23463545808093217
060371113013,0.005207598693304496,0.08061961394936779
060371113014,0.2119139207432138,0.2119139207432138
060371113021,0.002481149901297332,1.0
060371113022,0.034579033183703464,0.14323884980534118
060371114001,0.016156509695290935,0.2987243938305803
060371114002,0.015315204045306258,0.26521092482422925
060371114003,0.07563764906422253,0.10395280981955969
060371131011,0.0019600591715976546,0.125
060371131012,0.0017785028868243648,0.2777777777777778
060371131021,0.0019332406616614283,0.5
060371131022,0.0022518518518518547,0.5
060371132111,0.0016870205519421884,
060371132112,0.0012090137070108191,0.3333333333333333
060371132121,0.0028032024464312412,0.5833333333333334
060371132122,0.030707986898462956,0.25429962141698215
060371132131,0.0013298853004655663,0.6533333333333334
060371132132,0.05284622222222278,0.29883942879890574
060371132311,0.004647474961226398,0.464
060371132312,0.005102040816326532,
060371132321,0.002205260454231786,
060371132322,0.011304428339351687,0.9672222222222222
060371132331,0.04267382146195781,0.09532174619904796
060371132332,0.12518498514717843,0.23702265903546635
060371132333,0.039483233487046986,0.08399826822655272
060371132341,0.13064572760062562,0.14640180716411486
060371132342,0.042580814163928275,0.18881740940625155
060371132351,0.0027769397016175036,0.5555555555555556
060371132371,0.028866562378360664,0.6060727447524434
060371132372,0.049310170349131384,0.6371882086167799
060371133011,0.004365525244524668,
060371133012,0.010946203145007395,1.0
060371133031,0.001278480289831149,
060371133032,0.0034339660630194183,
060371133211,0.07794042484126075,0.1345055381071757
060371133212,0.04774289242664308,0.4886994275310306
060371133221,0.0016331696761220525,1.0
060371133222,0.005141299363697453,1.0
060371134011,0.13046710551908378,0.6878047663743962
060371134012,0.00235190494930754,
060371134013,0.011309704783282661,0.20626288320687688
060371134211,0.14015606363026645,0.15457063711911356
060371134212,0.11027477247711383,0.6831202019249902
060371134213,0.13985305169890452,0.19202134747387087
060371134221,0.0019598832179930996,
060371134222,0.0749378094433038,0.12265026780400713
060371134223,0.0032075912994085766,
060371134224,0.003616819902650053,0.5555555555555556
060371151011,0.0017855136161020679,
060371151012,0.0015127368849308328,
060371151013,0.002307203379227145,0.25
060371151041,0.0032769394909312795,
060371151042,0.07260160847668652,0.11049905495293638
060371152011,0.04605425360385257,0.07881160802894605
060371152012,0.08258674416161861,0.1631598554240166
060371152013,0.07866278629327446,0.2289513238524685
060371152021,0.05610299488677836,0.11998456790123457
060371152022,0.0020035952914039708,0.10743801652892562
060371152023,0.03154201292705443,0.07875421543344575
060371153011,0.002481149901297331,
060371153012,0.04099686316928055,0.17847442626953125
060371153021,0.15642669673728088,0.3947000661715346
060371154011,0.04112085605592153,0.14593950745814027
060371154012,0.06235970627023491,0.19535801087920993
060371154031,0.01708750617559797,0.034676066929126025
060371154041,0.02136370604839069,0.3536852757631978
060371154042,0.016305605860486665,0.055916484824439595
060371171011,0.0019082874196510431,
060371171012,0.023364444028324806,0.1914300340925182
060371171021,0.0034722222222222476,1.0
060371171022,0.004235091110456628,0.4793388429752065
060371172011,0.07617953254660399,0.10776122193983799
060371172012,0.003029336734693892,
060371172021,0.002397865053796807,
060371172022,0.00324354258138523,0.25
060371173011,0.0021963510310011123,
060371173012,0.0022566260736181323,
060371173013,0.003204998174368141,1.0
060371173021,0.0027997748170388486,
060371173022,0.0030529493210412584,
060371173023,0.0023255315500685875,1.0
060371173024,0.05566160059517448,0.4467980812996744
060371173031,0.001418376183224366,
060371173032,0.0033090530697190194,1.0
060371174041,0.003076468251401959,0.3333333333333333
060371174042,0.003665613329503003,1.0
060371174043,0.02107240480464597,0.4695202699816311
060371174051,0.05652063114527795,0.07368234675332115
060371174071,0.1564300035006205,0.1643608349010123
060371174081,0.07947556320105495,0.14621660185820562
