GEOID10,allProperties,incomeProperties
060371011101000,0.025580011897679944,0.5555555555555556
060371011101001,0.04347826086956521,
060371011101002,0.03846153846153847,
060371011101003,0.0663265306122449,0.5555555555555556
060371011101004,0.0336076817558299,0.6296296296296297
060371011101005,0.026500811249323984,
060371011101006,0.21918282548476464,0.850415512465374
060371011101007,0.03467269260645436,0.13080947983995073
060371011101008,0.06111140710746442,0.13295495713078131
060371011101009,0.03433922996878252,0.5
060371011101010,0.045454545454545456,
060371011101011,0.018080210387902685,0.26627218934911245
060371011102000,0.037037037037037014,
060371011102001,0.03462603878116344,0.625
060371011102002,0.04319999999999997,0.8024691358024691
060371011102003,0.01923076923076922,1.0
060371011102004,0.02124114952103291,0.5555555555555556
060371011102005,0.01997041420118342,1.0
060371011102006,0.03032104637336503,0.13378684807256233
060371011102007,0.05273437499999996,0.09542211652794291
060371011102008,0.45038866026520336,0.6749311294765843
060371011103000,0.02173913043478261,1.0
060371011103001,0.027700831024930754,1.0
060371011103002,0.15625,1.0
060371011103003,0.152915882827197,1.0
060371011103004,0.02173913043478261,0.3333333333333333
060371011103005,0.021145713187235703,0.375
060371011103006,0.02,0.3333333333333333
060371011103008,0.02941176470588234,
060371011221000,0.0037172696450211914,0.25
060371011221002,0.02083333333333332,
060371011221003,0.05882352941176469,
060371011221004,0.05000000000000003,
060371011221005,0.16666666666666669,
060371011221006,0.03225806451612904,
060371011221007,0.05263157894736843,
060371011221008,0.014925373134328342,
060371011221009,0.005207779785311939,0.5
060371011221010,0.04166666666666668,
060371011221011,0.09090909090909091,
060371011221012,0.03221564760026298,
060371011221013,0.05555555555555555,
060371011221014,0.018518518518518504,
060371011222001,0.008547008547008576,
060371011222002,0.0625,
060371011222003,0.0625,
060371011222004,0.034482758620689634,
060371011222005,0.025641025641025623,
060371011222006,0.03686087990487513,1.0
060371011222007,0.010199999999999994,
060371011222009,0.01513840830449826,0.20000000000000004
060371011222010,0.5,
060371011222011,0.10000000000000003,
060371011222013,0.08333333333333336,
060371011222014,0.12000000000000005,
060371011222015,0.03375000000000002,0.14792899408284027
060371011222016,0.039239001189060624,0.3600000000000001
060371012101000,0.04119932703092456,0.10467395097854976
060371012101001,0.1503120917404558,0.19868827160493824
